"instance","w","h","lots","land_cells","river_cells","preserve_cells","aptitude_classes","connected_components","batch_size","crossover_rate","keep_rate","new_rate","time","generations","seed","num_new_solutions","num_crossovers","num_mutations","num_solutions_explored","generation_best","time_to_best","time_avg","time_std_dev","time_initial","value_best","value_worst","value_avg","value_std_dev","value_initial","max_area_best","max_area_worst","max_area_avg","max_area_std_dev","max_area_initial","min_area_best","min_area_worst","min_area_avg","min_area_std_dev","min_area_initial","rivers_best","rivers_worst","rivers_avg","rivers_std_dev","rivers_initial","river_violations_best","river_violations_worst","river_violations_avg","river_violations_std_dev","river_violations_initial","size_ratio_best","size_ratio_worst","size_ratio_avg","size_ratio_std_dev","size_ratio_initial","convexity_best","convexity_worst","convexity_avg","convexity_std_dev","convexity_initial","num_empty_crossover_lots","num_disconnected_crossover_lots","num_empty_mutation_lots","num_disconnected_mutation_lots"
"500x500k40s32414",500,500,40,242511,5001,2488,7,7,256,0,0,1,1800.07,599,14042776814901573632,600,0,0,600,488,1474.67,3,0.33,3.51,70917.6,70917.6,114356.85,36555.65,63128.73,2969,2969,2694.37,596.3,3434,11409,11409,10714.34,1934.54,10508,279,279,26125.71,13905.27,10399,6,6,10.26,2.06,9,3.84,3.84,4.31,2.01,3.06,1.57,1.57,1.53,0.07,1.61,0,0,0,0
"500x500k60s32414",500,500,60,242511,5001,2488,7,7,256,0,0,1,1800,497,14041028641322786816,498,0,0,498,179,657.46,3.62,0.32,3.91,66343.8,66343.8,84639.7,23592.39,63768.02,1902,1902,1678.84,423.61,2087,8215,8215,7483.22,1231.3,6523,837,837,25442.25,11695.65,8326,11,11,14.56,2.56,11,4.32,4.32,5.1,4.26,3.13,1.59,1.59,1.48,0.05,1.43,0,0,0,0
"500x500k80s32414",500,500,80,242511,5001,2488,7,7,256,0,0,1,1800,429,14042996543631321088,430,0,0,430,309,1299.37,4.19,0.34,4.5,55443.59,55443.59,65866.79,16210.96,59306.75,1649,1649,1179.51,299.48,851,4978,4978,5724.97,977.41,5121,3959,3959,25106.22,10796.12,17915,16,16,18.34,2.95,17,3.02,3.02,5.38,2.77,6.02,1.38,1.38,1.45,0.04,1.42,0,0,0,0
"600x600k100s6306",600,600,100,342444,17364,192,10,4,256,0,0,1,1800,213,1.4042529100587e+19,214,0,0,214,56,481.99,8.44,0.59,8.61,86144.27,86144.27,84350.91,12349.96,103868.2,1531,1531,1195.49,311.58,1196,5582,5582,7317.02,1866.71,6800,13629,13629,43924.47,15627.02,31887,17,17,27.15,4.59,26,3.65,3.65,6.72,3.24,5.69,1.5,1.5,1.5,0.05,1.48,0,0,0,0
"600x600k20s6306",600,600,20,342444,17364,192,10,4,256,0,0,1,1800,500,14043009897299456000,501,0,0,501,255,928.72,3.6,0.43,3.94,456518.42,456518.42,407452.61,83681.62,451823.65,4758,4758,7942.97,1984.3,7807,24046,24046,28600.07,5251.91,22859,0,0,47050.14,26384.09,2944,0,0,7.5,2,3,5.05,5.05,3.91,1.69,2.93,1.75,1.75,1.67,0.12,1.71,0,0,0,0
"600x600k40s6306",600,600,40,342444,17364,192,10,4,256,0,0,1,1800,388,14042372831878397952,389,0,0,389,34,169.81,4.63,0.46,4.71,207953.5,207953.5,230009.41,37253.95,273400.83,3779,3779,3146.21,759.42,4703,13959,13959,16727.01,3538.34,15728,4636,4636,44213.32,23328.22,41989,10,10,12.13,2.89,16,3.69,3.69,5.76,2.59,3.34,1.63,1.63,1.63,0.09,1.72,0,0,0,0
"600x600k60s6306",600,600,60,342444,17364,192,10,4,256,0,0,1,1800,292,14043021413364733952,293,0,0,293,2,20.97,6.15,0.55,6.5,106817.41,106817.41,141871.99,26576.04,200449.4,1370,1370,2188.42,511.42,1509,8667,8667,11236.57,2619.8,13060,8057,8057,44406.93,19312.94,41902,8,8,17.72,3.54,18,6.33,6.33,5.51,2.34,8.65,1.56,1.56,1.57,0.07,1.53,0,0,0,0
"600x600k80s6306",600,600,80,342444,17364,192,10,4,256,0,0,1,1800,328,14042850516412426240,329,0,0,329,326,1794.23,5.49,0.45,5.37,110666.11,110666.11,111481.02,18832.45,106159.45,1581,1581,1447.05,387.44,806,7875,7875,8868.27,2537.86,7990,9477,9477,46872.2,16979.21,70019,15,15,23.52,4.01,31,4.98,4.98,6.76,3.35,9.91,1.58,1.58,1.53,0.06,1.54,0,0,0,0
"200x200k100s45221",200,200,100,37594,2241,165,5,7,256,0,0,1,1800,8120,14041321111244480512,8121,0,0,8121,377,84.13,0.22,0.01,0.22,5704.37,5704.37,8601.48,1602.56,8578.67,198,198,134.35,36.03,128,910,910,915.02,209.27,898,1301,1301,7012.18,2131.26,7802,24,24,35.79,3.98,38,4.6,4.6,7.64,4.26,7.02,1.3,1.3,1.32,0.02,1.3,0,0,0,0
"200x200k20s45221",200,200,20,37196,2241,563,5,7,256,0,0,1,1800.02,15246,14041105398888556544,15247,0,0,15247,4182,492.61,0.12,0.01,0.12,14422.86,14422.86,32453.84,12800.72,22501.6,1042,1042,990.26,251.27,1148,2517,2517,3407.63,781.33,3175,297,297,7055.06,3879.19,2601,3,3,9.63,2.47,4,2.42,2.42,3.94,2.68,2.77,1.33,1.33,1.31,0.04,1.35,0,0,0,0
"200x200k40s45221",200,200,40,37196,2241,563,5,7,256,0,0,1,1800.01,11784,1.4041098651692e+19,11785,0,0,11785,4142,634.08,0.15,0.01,0.18,7339.96,7339.96,19157.24,5239.38,10385.86,561,561,416.61,108.11,630,1543,1543,1949.56,384.49,1332,673,673,7487.31,3094.03,5100,8,8,17.48,2.99,22,2.75,2.75,5.3,3.9,2.11,1.35,1.35,1.31,0.03,1.29,0,0,0,0
"200x200k60s45221",200,200,60,37196,2241,563,5,7,256,0,0,1,1800.01,10156,14041170201916057600,10157,0,0,10157,6036,1069.24,0.18,0.01,0.18,7512.39,7512.39,13620.5,3133.34,13710.03,288,288,251.37,64.61,229,1214,1214,1390.7,299.59,1131,868,868,7485.59,2594.02,9748,15,15,24.31,3.34,27,4.22,4.22,6.18,3.4,4.94,1.3,1.3,1.32,0.03,1.3,0,0,0,0
